META,version=1,fixture_root=../../../tools/direct-logic-dregg-benchmark/generated,profile=release,warmups=5,prove_samples=25,verify_samples=75,pair_order=alternating,proof_encoding=postcard,release_prover_self_verify=false,field=babybear,ext_degree=4,fri_log_blowup=6,fri_log_final_poly_len=0,fri_max_log_arity=3,fri_queries=19,fri_query_pow_bits=16,trace_rows=1
TAMPER,admission,source,public_input_0,verifier_rejected
TAMPER,admission,optimized,public_input_0,verifier_rejected
SAMPLE,admission,source,prove,0,63616375
SAMPLE,admission,optimized,prove,0,63064334
SAMPLE,admission,optimized,prove,1,34421959
SAMPLE,admission,source,prove,1,31494875
SAMPLE,admission,source,prove,2,25649250
SAMPLE,admission,optimized,prove,2,22512291
SAMPLE,admission,optimized,prove,3,31420167
SAMPLE,admission,source,prove,3,56456083
SAMPLE,admission,source,prove,4,67603667
SAMPLE,admission,optimized,prove,4,81925917
SAMPLE,admission,optimized,prove,5,223890834
SAMPLE,admission,source,prove,5,118648125
SAMPLE,admission,source,prove,6,60827791
SAMPLE,admission,optimized,prove,6,34558542
SAMPLE,admission,optimized,prove,7,27956667
SAMPLE,admission,source,prove,7,156764750
SAMPLE,admission,source,prove,8,32117250
SAMPLE,admission,optimized,prove,8,24050125
SAMPLE,admission,optimized,prove,9,30087750
SAMPLE,admission,source,prove,9,31111541
SAMPLE,admission,source,prove,10,147902125
SAMPLE,admission,optimized,prove,10,76161167
SAMPLE,admission,optimized,prove,11,88813417
SAMPLE,admission,source,prove,11,170016000
SAMPLE,admission,source,prove,12,100057458
SAMPLE,admission,optimized,prove,12,116820291
SAMPLE,admission,optimized,prove,13,85067583
SAMPLE,admission,source,prove,13,132181291
SAMPLE,admission,source,prove,14,81925916
SAMPLE,admission,optimized,prove,14,52654667
SAMPLE,admission,optimized,prove,15,39245209
SAMPLE,admission,source,prove,15,126021875
SAMPLE,admission,source,prove,16,25787541
SAMPLE,admission,optimized,prove,16,33226667
SAMPLE,admission,optimized,prove,17,25866959
SAMPLE,admission,source,prove,17,37654833
SAMPLE,admission,source,prove,18,58387625
SAMPLE,admission,optimized,prove,18,71014708
SAMPLE,admission,optimized,prove,19,35777875
SAMPLE,admission,source,prove,19,100587792
SAMPLE,admission,source,prove,20,41063000
SAMPLE,admission,optimized,prove,20,68082542
SAMPLE,admission,optimized,prove,21,23725583
SAMPLE,admission,source,prove,21,42636000
SAMPLE,admission,source,prove,22,30953708
SAMPLE,admission,optimized,prove,22,41441875
SAMPLE,admission,optimized,prove,23,43116875
SAMPLE,admission,source,prove,23,42625209
SAMPLE,admission,source,prove,24,27416584
SAMPLE,admission,optimized,prove,24,29394958
SAMPLE,admission,source,verify,0,742834
SAMPLE,admission,optimized,verify,0,1352500
SAMPLE,admission,optimized,verify,1,518750
SAMPLE,admission,source,verify,1,646000
SAMPLE,admission,source,verify,2,636834
SAMPLE,admission,optimized,verify,2,533292
SAMPLE,admission,optimized,verify,3,1855167
SAMPLE,admission,source,verify,3,680334
SAMPLE,admission,source,verify,4,667917
SAMPLE,admission,optimized,verify,4,603416
SAMPLE,admission,optimized,verify,5,869209
SAMPLE,admission,source,verify,5,1143542
SAMPLE,admission,source,verify,6,864083
SAMPLE,admission,optimized,verify,6,505459
SAMPLE,admission,optimized,verify,7,728791
SAMPLE,admission,source,verify,7,1074417
SAMPLE,admission,source,verify,8,1282458
SAMPLE,admission,optimized,verify,8,1277541
SAMPLE,admission,optimized,verify,9,2185209
SAMPLE,admission,source,verify,9,1448875
SAMPLE,admission,source,verify,10,1526292
SAMPLE,admission,optimized,verify,10,1050250
SAMPLE,admission,optimized,verify,11,1099084
SAMPLE,admission,source,verify,11,1354417
SAMPLE,admission,source,verify,12,1467125
SAMPLE,admission,optimized,verify,12,1112458
SAMPLE,admission,optimized,verify,13,683125
SAMPLE,admission,source,verify,13,943500
SAMPLE,admission,source,verify,14,949084
SAMPLE,admission,optimized,verify,14,943125
SAMPLE,admission,optimized,verify,15,602833
SAMPLE,admission,source,verify,15,834583
SAMPLE,admission,source,verify,16,890041
