workload,variant,stage,n,median_ms,p95_ms,mean_ms,stddev_ms,median_boot95_lo_ms,median_boot95_hi_ms,mean_boot95_lo_ms,mean_boot95_hi_ms,min_ms,max_ms
admission,optimized,prove,25,39.245209,111.218916,56.171958,43.152718,31.420167,68.082542,41.814683,75.279233,22.512291,223.890834
admission,optimized,verify,75,0.602833,3.901004,1.273484,2.086326,0.549750,0.772167,0.883176,1.786491,0.465417,15.356000
admission,source,prove,25,58.387625,154.992225,72.380267,45.794697,37.654833,100.057458,55.479833,89.836772,25.649250,170.016000
admission,source,verify,75,0.858209,4.408979,1.543229,2.126951,0.727544,1.074417,1.125639,2.093974,0.601958,13.486167
clearance,optimized,prove,25,7.269042,80.564608,19.361947,25.865994,4.563667,17.580375,10.476715,30.453077,2.639542,100.239375
clearance,optimized,verify,75,0.419125,6.152567,1.211431,2.277984,0.349750,0.683750,0.759961,1.771624,0.327084,14.542458
clearance,source,prove,25,237.161958,384.875317,263.432895,111.158721,195.684625,300.893875,224.758072,309.357459,124.156500,655.479208
clearance,source,verify,75,0.403625,11.628937,2.349577,8.186676,0.375208,0.590792,0.864526,4.449948,0.358333,62.017333
strand,optimized,prove,25,11.398042,134.118642,35.196502,46.953317,3.180875,36.363875,18.263818,54.293513,2.337916,156.054541
strand,optimized,verify,75,0.345042,11.455450,3.198405,11.278203,0.328167,0.542625,0.984659,6.095422,0.306500,71.929250
strand,source,prove,25,18.409458,68.116492,22.379260,21.428394,5.208875,29.486042,14.711142,31.211087,2.312750,70.611792
strand,source,verify,75,0.373250,9.372946,2.168303,7.919484,0.324584,0.602959,0.776773,4.259720,0.306625,62.749667
upgrade,optimized,prove,25,48.448208,119.543926,55.095475,33.796585,34.354083,66.834584,42.452635,68.548648,11.767500,135.194875
upgrade,optimized,verify,75,0.380667,2.099958,2.089688,7.638035,0.336000,0.529250,0.562125,4.088919,0.327208,46.615875
upgrade,source,prove,25,102.988709,182.910550,103.415240,47.767431,66.528666,123.365334,85.718266,122.236625,33.724791,212.476208
upgrade,source,verify,75,0.378750,6.998262,1.976528,5.951098,0.364792,0.614292,0.836479,3.460160,0.358291,32.825792
