META,kind=native_boolean_no_proof,iterations=10000000,samples=25,black_box=true
BASELINE,admission-source,0,10000000,12257638
BASELINE,admission-source,1,10000000,12281323
BASELINE,admission-source,2,10000000,12392173
BASELINE,admission-source,3,10000000,12158953
BASELINE,admission-source,4,10000000,12160024
BASELINE,admission-source,5,10000000,12630421
BASELINE,admission-source,6,10000000,12238643
BASELINE,admission-source,7,10000000,12170575
BASELINE,admission-source,8,10000000,12189701
BASELINE,admission-source,9,10000000,12233734
BASELINE,admission-source,10,10000000,12109119
BASELINE,admission-source,11,10000000,12103539
BASELINE,admission-source,12,10000000,12093790
BASELINE,admission-source,13,10000000,12104390
BASELINE,admission-source,14,10000000,12090224
BASELINE,admission-source,15,10000000,12088470
BASELINE,admission-source,16,10000000,12129828
BASELINE,admission-source,17,10000000,12108618
BASELINE,admission-source,18,10000000,12118176
BASELINE,admission-source,19,10000000,12172569
BASELINE,admission-source,20,10000000,12178359
BASELINE,admission-source,21,10000000,12142472
BASELINE,admission-source,22,10000000,12216541
BASELINE,admission-source,23,10000000,12270944
BASELINE,admission-source,24,10000000,12235266
BASELINE,admission-optimized,0,10000000,10645813
BASELINE,admission-optimized,1,10000000,10625054
BASELINE,admission-optimized,2,10000000,10581872
BASELINE,admission-optimized,3,10000000,10585198
BASELINE,admission-optimized,4,10000000,10601820
BASELINE,admission-optimized,5,10000000,10584247
BASELINE,admission-optimized,6,10000000,10621357
BASELINE,admission-optimized,7,10000000,10621717
BASELINE,admission-optimized,8,10000000,10702360
BASELINE,admission-optimized,9,10000000,10718930
BASELINE,admission-optimized,10,10000000,10621407
BASELINE,admission-optimized,11,10000000,10634191
BASELINE,admission-optimized,12,10000000,10505869
BASELINE,admission-optimized,13,10000000,11301387
BASELINE,admission-optimized,14,10000000,10691949
BASELINE,admission-optimized,15,10000000,10678965
BASELINE,admission-optimized,16,10000000,10496020
BASELINE,admission-optimized,17,10000000,10603644
BASELINE,admission-optimized,18,10000000,10545053
BASELINE,admission-optimized,19,10000000,10583125
BASELINE,admission-optimized,20,10000000,10601068
BASELINE,admission-optimized,21,10000000,10561975
BASELINE,admission-optimized,22,10000000,10499187
BASELINE,admission-optimized,23,10000000,10495460
BASELINE,admission-optimized,24,10000000,10510167
BASELINE,upgrade-source,0,10000000,6512076
BASELINE,upgrade-source,1,10000000,6549828
