file,query_pow_witness
admission-optimized-0.postcard,81518
admission-optimized-1.postcard,81518
admission-optimized-2.postcard,81518
admission-optimized-3.postcard,81518
admission-optimized-4.postcard,81518
admission-source-0.postcard,98753
admission-source-1.postcard,98753
admission-source-2.postcard,98753
admission-source-3.postcard,98753
admission-source-4.postcard,98753
clearance-optimized-0.postcard,13417
clearance-optimized-1.postcard,13417
clearance-optimized-2.postcard,13417
clearance-optimized-3.postcard,13417
clearance-optimized-4.postcard,13417
clearance-source-0.postcard,182505
clearance-source-1.postcard,182505
clearance-source-2.postcard,182505
clearance-source-3.postcard,182505
clearance-source-4.postcard,182505
strand-optimized-0.postcard,12421
strand-optimized-1.postcard,12421
strand-optimized-2.postcard,12421
strand-optimized-3.postcard,12421
strand-optimized-4.postcard,12421
strand-source-0.postcard,12421
strand-source-1.postcard,12421
strand-source-2.postcard,12421
strand-source-3.postcard,12421
strand-source-4.postcard,12421
upgrade-optimized-0.postcard,54388
upgrade-optimized-1.postcard,54388
upgrade-optimized-2.postcard,54388
upgrade-optimized-3.postcard,54388
upgrade-optimized-4.postcard,54388
upgrade-source-0.postcard,102739
upgrade-source-1.postcard,102739
upgrade-source-2.postcard,102739
upgrade-source-3.postcard,102739
upgrade-source-4.postcard,102739
