workload,variant,kind,sample,bytes,blake3,disposition
admission,source,fixture-descriptor,0,17845,7306ad678e59093b0bf785075984ef5083f9f5d94b386ac23f4309172d4113af,pinned
admission,source,fixture-trace,0,154,ce7bd42858b3a833c8d545686029d7315baf3174c32615d0fffb5b16c7827bbd,pinned
admission,source,fixture-public,0,24,698284b9bee3da481cc6ced6fcebe9f09c74322157b29874baea2549bad0ae4a,pinned
admission,source,fixture-truth,0,24,21cd509d26c13815428938c4660547f8ca194fdf85405ad6ae1ff1b2be69af7f,pinned
admission,source,honest-proof,0,14016,70abc66086ecf5c7454e9062a96ebf3758d3ede2f7f740b0b78ce041eec92827,consumer_verified
admission,source,honest-proof,1,14016,70abc66086ecf5c7454e9062a96ebf3758d3ede2f7f740b0b78ce041eec92827,consumer_verified
admission,source,honest-proof,2,14016,70abc66086ecf5c7454e9062a96ebf3758d3ede2f7f740b0b78ce041eec92827,consumer_verified
admission,source,honest-proof,3,14016,70abc66086ecf5c7454e9062a96ebf3758d3ede2f7f740b0b78ce041eec92827,consumer_verified
admission,source,honest-proof,4,14016,70abc66086ecf5c7454e9062a96ebf3758d3ede2f7f740b0b78ce041eec92827,consumer_verified
admission,source,public-input-tamper,0,0,none,consumer_verifier_rejected
admission,optimized,fixture-descriptor,0,10091,5ca61f08c5eb58b89daa75c08ab5e426d1a6b227534e7c9be3d6b6d08fe81a63,pinned
admission,optimized,fixture-trace,0,94,04f6c9245c3c130a29705b624cd1e8e76bc6ae027424810074312cfa9dc0406d,pinned
admission,optimized,fixture-public,0,24,698284b9bee3da481cc6ced6fcebe9f09c74322157b29874baea2549bad0ae4a,pinned
admission,optimized,fixture-truth,0,24,21cd509d26c13815428938c4660547f8ca194fdf85405ad6ae1ff1b2be69af7f,pinned
admission,optimized,honest-proof,0,11894,2b87ffc04d2c01fed886539939419be7e0a8c7e2dae0017eeab0f4673b880905,consumer_verified
admission,optimized,honest-proof,1,11894,2b87ffc04d2c01fed886539939419be7e0a8c7e2dae0017eeab0f4673b880905,consumer_verified
admission,optimized,honest-proof,2,11894,2b87ffc04d2c01fed886539939419be7e0a8c7e2dae0017eeab0f4673b880905,consumer_verified
admission,optimized,honest-proof,3,11894,2b87ffc04d2c01fed886539939419be7e0a8c7e2dae0017eeab0f4673b880905,consumer_verified
admission,optimized,honest-proof,4,11894,2b87ffc04d2c01fed886539939419be7e0a8c7e2dae0017eeab0f4673b880905,consumer_verified
admission,optimized,public-input-tamper,0,0,none,consumer_verifier_rejected
upgrade,source,fixture-descriptor,0,4978,78349d6d32967532081347c0425e1314e217e6856816b84cc91d57eef86efdad,pinned
upgrade,source,fixture-trace,0,42,7ad086a9685049f1ef31a92472227f1b8837693be5d3217a2f24836d63ace417,pinned
upgrade,source,fixture-public,0,8,456531e554932d3c5d2a520b914610f325311e1020ba1ea5b9d1d98c1307f5b8,pinned
upgrade,source,fixture-truth,0,8,0704e949daa96712790bf8539cbe8e7235043fa2f9db54cd067baa87e15ee209,pinned
upgrade,source,honest-proof,0,10431,ba5b4f17c3bb353dbfc93464af347d775fcd6de3b57534e567ca140c05e8beec,consumer_verified
upgrade,source,honest-proof,1,10431,ba5b4f17c3bb353dbfc93464af347d775fcd6de3b57534e567ca140c05e8beec,consumer_verified
upgrade,source,honest-proof,2,10431,ba5b4f17c3bb353dbfc93464af347d775fcd6de3b57534e567ca140c05e8beec,consumer_verified
upgrade,source,honest-proof,3,10431,ba5b4f17c3bb353dbfc93464af347d775fcd6de3b57534e567ca140c05e8beec,consumer_verified
upgrade,source,honest-proof,4,10431,ba5b4f17c3bb353dbfc93464af347d775fcd6de3b57534e567ca140c05e8beec,consumer_verified
upgrade,source,public-input-tamper,0,0,none,consumer_verifier_rejected
upgrade,optimized,fixture-descriptor,0,3427,256630f65ba021f12fdd90ab78416623f68044523c0bea5be8009d5d1312cfa8,pinned
upgrade,optimized,fixture-trace,0,30,681100e256c5695d0b05a2b92ef39aa3ef1dbbeca48913e3bffd35c37bb9ca44,pinned
upgrade,optimized,fixture-public,0,8,456531e554932d3c5d2a520b914610f325311e1020ba1ea5b9d1d98c1307f5b8,pinned
upgrade,optimized,fixture-truth,0,8,0704e949daa96712790bf8539cbe8e7235043fa2f9db54cd067baa87e15ee209,pinned
upgrade,optimized,honest-proof,0,10081,c449a5ea3ccfa790c8e9acc77fc512408d20c064ebee562ce064afcc3b697e18,consumer_verified
upgrade,optimized,honest-proof,1,10081,c449a5ea3ccfa790c8e9acc77fc512408d20c064ebee562ce064afcc3b697e18,consumer_verified
upgrade,optimized,honest-proof,2,10081,c449a5ea3ccfa790c8e9acc77fc512408d20c064ebee562ce064afcc3b697e18,consumer_verified
upgrade,optimized,honest-proof,3,10081,c449a5ea3ccfa790c8e9acc77fc512408d20c064ebee562ce064afcc3b697e18,consumer_verified
upgrade,optimized,honest-proof,4,10081,c449a5ea3ccfa790c8e9acc77fc512408d20c064ebee562ce064afcc3b697e18,consumer_verified
upgrade,optimized,public-input-tamper,0,0,none,consumer_verifier_rejected
clearance,source,fixture-descriptor,0,4978,78349d6d32967532081347c0425e1314e217e6856816b84cc91d57eef86efdad,pinned
clearance,source,fixture-trace,0,42,25c20415350dcc5af47b22bb2ddfb736bd29ae4b35acaad2f00b2c1abe5285f7,pinned
clearance,source,fixture-public,0,8,467bd0c78ffbd722bc59ab9a0ee3d242815a409d7547f7346192293e641a01f7,pinned
clearance,source,fixture-truth,0,8,a01cfce8255ff2d52dade7ca509a5ed59dd44765a4e5e8045269cf39a3da4567,pinned
clearance,source,honest-proof,0,10469,a9ab50d73b7d6a008e0561db93350de585b11aed75c1213a0bb5d6d7b3d33d33,consumer_verified
clearance,source,honest-proof,1,10469,a9ab50d73b7d6a008e0561db93350de585b11aed75c1213a0bb5d6d7b3d33d33,consumer_verified
clearance,source,honest-proof,2,10469,a9ab50d73b7d6a008e0561db93350de585b11aed75c1213a0bb5d6d7b3d33d33,consumer_verified
clearance,source,honest-proof,3,10469,a9ab50d73b7d6a008e0561db93350de585b11aed75c1213a0bb5d6d7b3d33d33,consumer_verified
clearance,source,honest-proof,4,10469,a9ab50d73b7d6a008e0561db93350de585b11aed75c1213a0bb5d6d7b3d33d33,consumer_verified
clearance,source,public-input-tamper,0,0,none,consumer_verifier_rejected
clearance,optimized,fixture-descriptor,0,3427,256630f65ba021f12fdd90ab78416623f68044523c0bea5be8009d5d1312cfa8,pinned
clearance,optimized,fixture-trace,0,30,376858665536197d893d93522a5127f8f6a11dd8bf3b3f546bff90836d731c9c,pinned
clearance,optimized,fixture-public,0,8,467bd0c78ffbd722bc59ab9a0ee3d242815a409d7547f7346192293e641a01f7,pinned
clearance,optimized,fixture-truth,0,8,a01cfce8255ff2d52dade7ca509a5ed59dd44765a4e5e8045269cf39a3da4567,pinned
clearance,optimized,honest-proof,0,10157,7ea488876c690c836a63b1cb63473737cb73c0f949b4b42494b0c6dba0ae814d,consumer_verified
clearance,optimized,honest-proof,1,10157,7ea488876c690c836a63b1cb63473737cb73c0f949b4b42494b0c6dba0ae814d,consumer_verified
clearance,optimized,honest-proof,2,10157,7ea488876c690c836a63b1cb63473737cb73c0f949b4b42494b0c6dba0ae814d,consumer_verified
clearance,optimized,honest-proof,3,10157,7ea488876c690c836a63b1cb63473737cb73c0f949b4b42494b0c6dba0ae814d,consumer_verified
