session,workload,stage,pairs,median_opt_over_source,p10_ratio,p90_ratio,optimized_pair_win_rate
session-01,admission,prove,30,0.822203,0.813780,0.828791,1.000000
session-01,upgrade,prove,30,0.529895,0.522980,0.534442,1.000000
session-01,clearance,prove,30,0.075747,0.075045,0.076260,1.000000
session-01,strand,prove,30,1.002224,0.994741,1.008352,0.366667
session-01,admission,verify,100,0.763596,0.749237,0.778552,1.000000
session-01,upgrade,verify,100,0.901863,0.873408,0.940332,1.000000
session-01,clearance,verify,100,0.902547,0.887931,0.922744,0.990000
session-01,strand,verify,100,1.001547,0.963911,1.029648,0.480000
session-02,admission,prove,30,0.823424,0.819500,0.827126,1.000000
session-02,upgrade,prove,30,0.531332,0.527403,0.533611,1.000000
session-02,clearance,prove,30,0.075703,0.075315,0.076038,1.000000
session-02,strand,prove,30,1.000107,0.992406,1.004004,0.500000
session-02,admission,verify,100,0.763424,0.756755,0.771336,1.000000
session-02,upgrade,verify,100,0.903771,0.891035,0.914858,1.000000
session-02,clearance,verify,100,0.905053,0.893516,0.916620,0.990000
session-02,strand,verify,100,1.000379,0.986693,1.013038,0.470000
session-03,admission,prove,30,0.823531,0.719588,0.836832,1.000000
session-03,upgrade,prove,30,0.531398,0.529445,0.533961,1.000000
session-03,clearance,prove,30,0.075556,0.075157,0.076015,1.000000
session-03,strand,prove,30,0.999982,0.991943,1.005993,0.500000
session-03,admission,verify,100,0.764146,0.757966,0.771558,1.000000
session-03,upgrade,verify,100,0.903915,0.896129,0.912635,1.000000
session-03,clearance,verify,100,0.900973,0.892065,0.916829,1.000000
session-03,strand,verify,100,1.001229,0.987930,1.011751,0.460000
session-04,admission,prove,30,0.826458,0.804928,0.877930,0.966667
session-04,upgrade,prove,30,0.531343,0.515588,0.554184,1.000000
session-04,clearance,prove,30,0.075901,0.072732,0.086839,1.000000
session-04,strand,prove,30,1.006269,0.975579,1.038459,0.433333
session-04,admission,verify,100,0.762751,0.729580,0.781145,1.000000
session-04,upgrade,verify,100,0.904979,0.892792,0.915057,1.000000
session-04,clearance,verify,100,0.902121,0.849926,0.927879,0.990000
session-04,strand,verify,100,1.000285,0.985373,1.023643,0.500000
session-05,admission,prove,30,0.822716,0.817894,0.825369,1.000000
session-05,upgrade,prove,30,0.532229,0.519431,0.560573,1.000000
session-05,clearance,prove,30,0.075720,0.074767,0.076358,1.000000
session-05,strand,prove,30,1.000136,0.993254,1.007136,0.433333
session-05,admission,verify,100,0.765345,0.757334,0.787004,1.000000
session-05,upgrade,verify,100,0.903919,0.895089,0.913483,1.000000
session-05,clearance,verify,100,0.903503,0.896001,0.915860,1.000000
session-05,strand,verify,100,1.001027,0.989139,1.009379,0.460000
session-06,admission,prove,30,0.824401,0.816484,0.829121,1.000000
session-06,upgrade,prove,30,0.529941,0.525781,0.534448,1.000000
session-06,clearance,prove,30,0.075682,0.074736,0.076256,1.000000
session-06,strand,prove,30,0.998668,0.990960,1.006276,0.566667
session-06,admission,verify,100,0.763747,0.749313,0.782330,1.000000
session-06,upgrade,verify,100,0.904849,0.891578,0.919885,0.990000
session-06,clearance,verify,100,0.902476,0.893380,0.919359,1.000000
session-06,strand,verify,100,0.998921,0.984630,1.013975,0.530000
session-07,admission,prove,30,0.820889,0.798828,0.853193,1.000000
session-07,upgrade,prove,30,0.530785,0.526000,0.532127,1.000000
session-07,clearance,prove,30,0.075737,0.074683,0.076352,1.000000
session-07,strand,prove,30,1.000125,0.993961,1.005611,0.500000
session-07,admission,verify,100,0.765748,0.759781,0.772747,1.000000
session-07,upgrade,verify,100,0.902910,0.895845,0.912167,1.000000
session-07,clearance,verify,100,0.903055,0.892697,0.917106,1.000000
session-07,strand,verify,100,0.998098,0.967324,1.026146,0.530000
