2026-07-22T08:41:33.811371163Z
 04:41:33 up 12 days,  5:13, 11 users,  load average: 3.15, 29.35, 92.89
    PID %CPU %MEM     ELAPSED COMMAND
   6417  2.3  0.3 12-05:12:55 beam.smp
2837287  1.3  0.0       34:55 kworker/9:416-events
3202789  0.7  0.0       17:43 kworker/u96:0-mt76
   2608  0.5  0.0 12-05:13:05 containerd
2785000  0.5  0.0       39:37 rustdesk
   2817  0.5  0.0 12-05:13:00 dockerd
2794758  0.4  0.3       38:39 beam.smp
      1  0.3  0.0 12-05:13:12 systemd
3097726  0.3  0.0       25:53 kworker/u96:1-mt76
1736481  0.3 15.2  5-02:24:03 deco_binding_de
   7133  0.3  0.1 12-05:12:48 gnome-shell
   1252  0.2  0.0 12-05:13:09 napi/phy0-0
   1251  0.2  0.0 12-05:13:09 napi/phy0-0
   2582  0.2  0.0 12-05:13:05 tailscaled
   2248  0.2  0.0 12-05:13:06 systemd-machine
   2842  0.2  0.0 12-05:13:00 rustdesk
   2899  0.1  0.0 12-05:12:59 gdm3
     15  0.1  0.0 12-05:13:12 rcu_preempt
   6080  0.1  0.0 12-05:12:57 nginx
