utc,load1,load5,load15,runnable,total_tasks,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_freq_khz
2026-07-22T08:41:05.861566961Z,2.97,32.05,95.81,3,1731,185964128,636665,36642042,2293238516,8768168,0,1519738,0,22:605264:23:3154968
2026-07-22T08:41:06.868431941Z,2.97,32.05,95.81,4,1742,185964336,636665,36642098,2293240661,8768169,0,1519739,0,22:3228515:23:3321112
2026-07-22T08:41:07.875296591Z,3.05,31.59,95.32,4,1754,185964638,636665,36642163,2293242695,8768169,0,1519739,0,22:3321829:23:3324437
2026-07-22T08:41:08.882105145Z,3.05,31.59,95.32,3,1736,185964961,636665,36642257,2293244683,8768170,0,1519741,0,22:3321841:23:605264
2026-07-22T08:41:09.889167257Z,3.05,31.59,95.32,3,1736,185965165,636665,36642271,2293246874,8768170,0,1519742,0,22:3321431:23:605264
2026-07-22T08:41:10.895960793Z,3.05,31.59,95.32,3,1736,185965377,636666,36642304,2293249037,8768170,0,1519742,0,22:3321133:23:1957534
2026-07-22T08:41:11.904258354Z,3.05,31.59,95.32,12,1766,185966076,636666,36642392,2293250655,8768177,0,1519744,0,22:3207293:23:3210877
2026-07-22T08:41:12.912958003Z,4.01,31.31,94.89,13,1769,185967243,636666,36642481,2293251807,8768177,0,1519745,0,22:3106642:23:3105602
2026-07-22T08:41:13.924002763Z,4.01,31.31,94.89,14,1777,185968508,636666,36642590,2293252844,8768178,0,1519747,0,22:2978570:23:2978629
2026-07-22T08:41:14.933070105Z,4.01,31.31,94.89,5,1744,185969486,636666,36642670,2293254202,8768180,0,1519748,0,22:3320231:23:605264
2026-07-22T08:41:15.940172473Z,4.01,31.31,94.89,4,1744,185969979,636666,36642729,2293256060,8768180,0,1519749,0,22:3321909:23:605264
2026-07-22T08:41:16.948805437Z,4.01,31.31,94.89,2,1724,185970100,636666,36642761,2293258312,8768183,0,1519751,0,22:3321255:23:605264
2026-07-22T08:41:17.957916161Z,3.77,30.81,94.38,2,1724,185970217,636666,36642780,2293260585,8768183,0,1519754,0,22:3321604:23:3313919
2026-07-22T08:41:18.966545918Z,3.77,30.81,94.38,2,1724,185970337,636666,36642811,2293262845,8768183,0,1519761,0,22:3297593:23:605264
2026-07-22T08:41:19.975210751Z,3.77,30.81,94.38,2,1724,185970456,636666,36642829,2293265119,8768183,0,1519767,0,22:3320173:23:605264
2026-07-22T08:41:20.983812225Z,3.77,30.81,94.38,2,1724,185970570,636666,36642858,2293267388,8768183,0,1519772,0,22:3295763:23:605264
2026-07-22T08:41:21.993009963Z,3.77,30.81,94.38,2,1724,185970679,636666,36642870,2293269673,8768191,0,1519774,0,22:3296502:23:605264
2026-07-22T08:41:23.001725482Z,3.55,30.31,93.88,2,1724,185970800,636666,36642897,2293271934,8768191,0,1519776,0,22:3296269:23:3296612
2026-07-22T08:41:24.008660505Z,3.55,30.31,93.88,3,1724,185970919,636666,36642923,2293274201,8768191,0,1519779,0,22:3297067:23:605264
2026-07-22T08:41:25.016820166Z,3.55,30.31,93.88,2,1724,185971039,636666,36642949,2293276463,8768191,0,1519782,0,22:3292835:23:605264
2026-07-22T08:41:26.025270756Z,3.55,30.31,93.88,2,1724,185971161,636666,36642978,2293278720,8768191,0,1519784,0,22:3296579:23:605264
2026-07-22T08:41:27.033633449Z,3.55,30.31,93.88,2,1724,185971272,636666,36642991,2293281004,8768194,0,1519788,0,22:3298595:23:605264
2026-07-22T08:41:28.041727006Z,3.34,29.83,93.38,2,1724,185971391,636666,36643015,2293283264,8768196,0,1519794,0,22:3293257:23:605264
2026-07-22T08:41:29.049964574Z,3.34,29.83,93.38,2,1724,185971508,636666,36643032,2293285539,8768196,0,1519798,0,22:3299879:23:3008174
2026-07-22T08:41:30.058601094Z,3.34,29.83,93.38,2,1724,185971633,636666,36643061,2293287797,8768196,0,1519802,0,22:3300183:23:605264
2026-07-22T08:41:31.067419046Z,3.34,29.83,93.38,2,1724,185971747,636666,36643081,2293290073,8768196,0,1519806,0,22:3297633:23:605264
2026-07-22T08:41:32.076067709Z,3.34,29.83,93.38,2,1724,185971860,636666,36643101,2293292351,8768199,0,1519810,0,22:3294574:23:1908478
