2026-07-22T08:46:41.778522438Z
 04:46:41 up 12 days,  5:18, 12 users,  load average: 4.97, 14.51, 68.64
    PID %CPU %MEM     ELAPSED COMMAND
3446093  612  5.9       00:24 rustc
3450267  100  0.0       00:00 ps
3450159  3.2  0.0       00:00 sshd-session
   6417  2.3  0.3 12-05:18:03 beam.smp
3446007  2.0  0.2       00:24 cargo
2837287  1.1  0.0       40:03 kworker/9:416-events
3202789  0.7  0.0       22:51 kworker/u96:0-mt76
   2608  0.5  0.0 12-05:18:13 containerd
2785000  0.5  0.0       44:45 rustdesk
   2817  0.5  0.0 12-05:18:08 dockerd
2794758  0.4  0.3       43:47 beam.smp
      1  0.3  0.0 12-05:18:20 systemd
1736481  0.3 15.2  5-02:29:11 deco_binding_de
   7133  0.3  0.1 12-05:17:56 gnome-shell
3097726  0.2  0.0       31:01 kworker/u96:1-phy0
   1252  0.2  0.0 12-05:18:17 napi/phy0-0
   1251  0.2  0.0 12-05:18:17 napi/phy0-0
   2582  0.2  0.0 12-05:18:13 tailscaled
   2248  0.2  0.0 12-05:18:14 systemd-machine
