shape,assignment,variant,atoms,trace_width,constraints,descriptor_bytes
admission,expiry-none,source,12,77,121,17845
admission,expiry-none,optimized,12,47,71,10091
admission,expiry-timed,source,12,77,121,17845
admission,expiry-timed,optimized,12,47,71,10091
admission,expiry-both-abstract,source,12,77,121,17845
admission,expiry-both-abstract,optimized,12,47,71,10091
branch,left,source,4,21,33,4978
branch,left,optimized,4,15,23,3427
branch,right,source,4,21,33,4978
branch,right,optimized,4,15,23,3427
branch,both,source,4,21,33,4978
branch,both,optimized,4,15,23,3427
strand,seed,source,3,11,17,2713
strand,seed,optimized,3,11,17,2713
strand,vouch,source,3,11,17,2713
strand,vouch,optimized,3,11,17,2713
strand,bond,source,3,11,17,2713
strand,bond,optimized,3,11,17,2713
strand,seed-vouch,source,3,11,17,2713
strand,seed-vouch,optimized,3,11,17,2713
strand,seed-bond,source,3,11,17,2713
strand,seed-bond,optimized,3,11,17,2713
strand,vouch-bond,source,3,11,17,2713
strand,vouch-bond,optimized,3,11,17,2713
strand,all,source,3,11,17,2713
strand,all,optimized,3,11,17,2713
