shape,assignment,repeats,source_median_ms,optimized_median_ms,optimized_over_source,source_proof_bytes,optimized_proof_bytes,source_unique_hashes,optimized_unique_hashes,source_query_pow_witness,optimized_query_pow_witness,all_repeats_byte_identical
admission,expiry-both-abstract,10,21.481845,202.191789,9.412217,13976,11983,1,1,10782,120205,true
admission,expiry-none,10,190.089027,154.233638,0.811376,14016,11894,1,1,98753,81518,true
admission,expiry-timed,10,51.372332,16.709599,0.325265,13978,12029,1,1,38155,12182,true
branch,both,10,88.380691,65.052254,0.736046,10487,10053,1,1,44455,33981,true
branch,left,10,241.755497,17.815297,0.073691,10469,10157,1,1,182505,13417,true
branch,right,10,124.745344,67.732823,0.542969,10431,10081,1,1,102739,54388,true
strand,all,10,223.847711,223.017583,0.996292,9707,9707,1,1,152782,152782,true
strand,bond,10,46.110415,46.768715,1.014277,9882,9882,1,1,30000,30000,true
strand,seed,10,17.891536,17.827245,0.996407,9850,9850,1,1,12421,12421,true
strand,seed-bond,10,49.886763,50.011533,1.002501,9864,9864,1,1,31417,31417,true
strand,seed-vouch,10,16.395664,15.869322,0.967897,9866,9866,1,1,10087,10087,true
strand,vouch,10,58.411676,58.918891,1.008683,9928,9928,1,1,40590,40590,true
strand,vouch-bond,10,118.642102,116.289546,0.980171,9846,9846,1,1,79053,79053,true
