2026-07-22T09:15:29.863142577Z
 05:15:29 up 12 days,  5:47, 12 users,  load average: 21.62, 17.93, 21.37
    PID %CPU %MEM     ELAPSED COMMAND
3740144  350  1.4       00:16 rustc
3743300  100  0.0       00:00 ps
3742323 99.5  0.9       00:07 rustc
3738695  7.0  0.3       00:23 cargo
   6417  2.3  0.3 12-05:46:51 beam.smp
3468264  0.8  0.0       27:15 kworker/u96:2-mt76
3600837  0.7  0.0       13:30 rustdesk
   2608  0.5  0.0 12-05:47:01 containerd
3738508  0.5  0.0       00:25 cargo-nextest
   2817  0.5  0.0 12-05:46:56 dockerd
2794758  0.4  0.3    01:12:35 beam.smp
      1  0.3  0.0 12-05:47:08 systemd
   7133  0.3  0.1 12-05:46:44 gnome-shell
1736481  0.3 15.2  5-02:57:59 deco_binding_de
   1252  0.2  0.0 12-05:47:05 napi/phy0-0
   1251  0.2  0.0 12-05:47:05 napi/phy0-0
3687858  0.2  0.0       04:12 kworker/u97:0-events_unbound
   2582  0.2  0.0 12-05:47:01 tailscaled
3541099  0.2  0.0       19:32 kworker/u97:4-flush-259:0
