2026-07-22T09:14:58.746375196Z
 05:14:58 up 12 days,  5:46, 13 users,  load average: 23.44, 17.81, 21.45
    PID %CPU %MEM     ELAPSED COMMAND
3729208  532  5.6       00:47 rustc
3726991  292  1.5       01:04 rustc
3737816  200  0.0       00:00 ps
3702009  4.7  0.3       02:17 cargo
3737256  3.3  0.0       00:04 rsync
3737245  3.0  0.0       00:04 rsync
   6417  2.3  0.3 12-05:46:20 beam.smp
3737588  1.1  0.0       00:01 sshd-session
3468264  0.8  0.0       26:44 kworker/u96:2-mt76
3600837  0.7  0.0       12:59 rustdesk
   2608  0.5  0.0 12-05:46:30 containerd
   2817  0.5  0.0 12-05:46:25 dockerd
2794758  0.4  0.3    01:12:04 beam.smp
      1  0.3  0.0 12-05:46:37 systemd
   7133  0.3  0.1 12-05:46:13 gnome-shell
1736481  0.3 15.2  5-02:57:28 deco_binding_de
3687858  0.2  0.0       03:41 kworker/u97:0-events_unbound
   1252  0.2  0.0 12-05:46:34 napi/phy0-0
   1251  0.2  0.0 12-05:46:34 napi/phy0-0
