META,session=session-01,warmups=20,repeats=200,order=alternating,consumer_verifier=true
VERIFY_SWEEP,session-01,admission,expiry-none,source,0,1470682
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,0,1175456
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,1,1189452
VERIFY_SWEEP,session-01,admission,expiry-none,source,1,1509336
VERIFY_SWEEP,session-01,admission,expiry-none,source,2,1515988
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,2,1194362
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,3,1181848
VERIFY_SWEEP,session-01,admission,expiry-none,source,3,1493686
VERIFY_SWEEP,session-01,admission,expiry-none,source,4,1517080
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,4,1195614
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,5,1181918
VERIFY_SWEEP,session-01,admission,expiry-none,source,5,1515928
VERIFY_SWEEP,session-01,admission,expiry-none,source,6,1541837
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,6,1198299
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,7,1193039
VERIFY_SWEEP,session-01,admission,expiry-none,source,7,1552627
VERIFY_SWEEP,session-01,admission,expiry-none,source,8,1557115
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,8,1200534
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,9,1203458
VERIFY_SWEEP,session-01,admission,expiry-none,source,9,1533701
VERIFY_SWEEP,session-01,admission,expiry-none,source,10,1553439
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,10,1212946
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,11,1202697
VERIFY_SWEEP,session-01,admission,expiry-none,source,11,1550012
VERIFY_SWEEP,session-01,admission,expiry-none,source,12,1573527
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,12,1262450
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,13,1220962
VERIFY_SWEEP,session-01,admission,expiry-none,source,13,1614724
VERIFY_SWEEP,session-01,admission,expiry-none,source,14,1605196
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,14,1239116
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,15,1185495
VERIFY_SWEEP,session-01,admission,expiry-none,source,15,1539582
VERIFY_SWEEP,session-01,admission,expiry-none,source,16,1538019
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,16,1202136
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,17,1208599
VERIFY_SWEEP,session-01,admission,expiry-none,source,17,1533461
VERIFY_SWEEP,session-01,admission,expiry-none,source,18,1606608
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,18,1245127
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,19,1282699
VERIFY_SWEEP,session-01,admission,expiry-none,source,19,1584998
VERIFY_SWEEP,session-01,admission,expiry-none,source,20,1619383
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,20,1141392
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,21,1196446
VERIFY_SWEEP,session-01,admission,expiry-none,source,21,1498686
VERIFY_SWEEP,session-01,admission,expiry-none,source,22,1498955
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,22,1233586
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,23,1199652
VERIFY_SWEEP,session-01,admission,expiry-none,source,23,1477817
VERIFY_SWEEP,session-01,admission,expiry-none,source,24,1519985
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,24,1187339
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,25,1178491
VERIFY_SWEEP,session-01,admission,expiry-none,source,25,1516980
VERIFY_SWEEP,session-01,admission,expiry-none,source,26,1516960
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,26,1202367
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,27,1176248
VERIFY_SWEEP,session-01,admission,expiry-none,source,27,1528321
VERIFY_SWEEP,session-01,admission,expiry-none,source,28,1509876
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,28,1181107
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,29,1153876
VERIFY_SWEEP,session-01,admission,expiry-none,source,29,1490881
VERIFY_SWEEP,session-01,admission,expiry-none,source,30,1514885
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,30,1178101
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,31,1167692
VERIFY_SWEEP,session-01,admission,expiry-none,source,31,1500659
VERIFY_SWEEP,session-01,admission,expiry-none,source,32,1500829
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,32,1192137
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,33,1176799
VERIFY_SWEEP,session-01,admission,expiry-none,source,33,1536496
VERIFY_SWEEP,session-01,admission,expiry-none,source,34,1532769
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,34,1157993
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,35,1145299
VERIFY_SWEEP,session-01,admission,expiry-none,source,35,1564259
VERIFY_SWEEP,session-01,admission,expiry-none,source,36,1480361
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,36,1143095
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,37,1143836
VERIFY_SWEEP,session-01,admission,expiry-none,source,37,1514265
VERIFY_SWEEP,session-01,admission,expiry-none,source,38,1495469
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,38,1176317
