shape,assignment,sessions,paired_rounds,source_median_ms,optimized_median_ms,optimized_over_source,hier_boot95_lo,hier_boot95_hi,session_ratio_min,session_ratio_max,verdict
admission,expiry-both-abstract,7,1400,0.998563,0.768043,0.769028,0.767095,0.770976,0.763951,0.771349,STABLE_OPT_FASTER_FOR_ACCEPTING_ASSIGNMENT
admission,expiry-none,7,1400,0.960315,0.740761,0.770132,0.769083,0.774917,0.769291,0.774748,STABLE_OPT_FASTER_FOR_ACCEPTING_ASSIGNMENT
admission,expiry-timed,7,1400,0.951964,0.729000,0.769366,0.767000,0.772853,0.766102,0.773437,STABLE_OPT_FASTER_FOR_ACCEPTING_ASSIGNMENT
branch,both,7,1400,0.569083,0.513544,0.903300,0.900014,0.905372,0.899388,0.904739,STABLE_OPT_FASTER_FOR_ACCEPTING_ASSIGNMENT
branch,left,7,1400,0.584342,0.528321,0.904198,0.901049,0.906173,0.902233,0.905277,STABLE_OPT_FASTER_FOR_ACCEPTING_ASSIGNMENT
branch,right,7,1400,0.564509,0.510377,0.901158,0.898304,0.905279,0.898919,0.904157,STABLE_OPT_FASTER_FOR_ACCEPTING_ASSIGNMENT
strand,all,7,1400,0.477826,0.478016,1.000207,0.997165,1.002785,0.997868,1.002071,NULL_OK
strand,bond,7,1400,0.498911,0.498665,0.999433,0.995124,1.002096,0.995124,1.000427,NULL_OK
strand,seed,7,1400,0.488596,0.489463,0.999281,0.995981,1.003517,0.994256,1.002576,NULL_OK
strand,seed-bond,7,1400,0.480576,0.480756,0.999844,0.996745,1.002322,0.996745,1.002739,NULL_OK
strand,seed-vouch,7,1400,0.495178,0.495053,1.000592,0.997311,1.003351,0.998006,1.002282,NULL_OK
strand,vouch,7,1400,0.494908,0.494973,0.999445,0.993842,1.001599,0.993896,1.000970,NULL_OK
strand,vouch-bond,7,1400,0.477631,0.477851,1.000427,0.997073,1.002890,0.998518,1.001217,NULL_OK
