workload,stage,n,median_ms,p95_ms,mean_ms,stddev_ms,median_boot95_lo_ms,median_boot95_hi_ms,mean_boot95_lo_ms,mean_boot95_hi_ms,min_ms,max_ms
bool-eq,compile,200,0.005084,0.011416,0.008851,0.022054,0.005083,0.005125,0.006348,0.012267,0.004916,0.259875
bool-eq,prove,30,2.218979,4.572144,2.692244,0.925863,2.110022,2.856750,2.395249,3.049254,2.057916,5.962125
bool-eq,verify,100,0.281500,0.788735,0.394138,0.200204,0.263083,0.378625,0.357005,0.435337,0.253750,1.444209
bool-eq,witness,2000,0.000083,0.000084,0.000078,0.000049,0.000083,0.000083,0.000076,0.000080,0.000041,0.002000
enum-eq-16,compile,200,0.036666,0.050765,0.038902,0.007898,0.036583,0.036709,0.037903,0.040060,0.036167,0.091125
enum-eq-16,prove,30,4.496583,7.139929,4.831915,1.249101,4.107604,5.228979,4.415873,5.280122,3.497500,7.819750
enum-eq-16,verify,100,0.309000,0.685618,0.382690,0.141554,0.305042,0.324271,0.356735,0.411209,0.290541,0.900666
enum-eq-16,witness,2000,0.000083,0.000084,0.000091,0.000297,0.000083,0.000083,0.000084,0.000105,0.000041,0.013333
enum-eq-4,compile,200,0.012646,0.032556,0.020240,0.017497,0.012542,0.012875,0.018063,0.022918,0.012208,0.172167
enum-eq-4,prove,30,6.910938,9.829436,7.037375,1.563367,6.057792,7.678437,6.502646,7.589331,4.982917,10.393917
enum-eq-4,verify,100,0.293063,0.690786,0.376970,0.166416,0.270625,0.321958,0.345605,0.411006,0.259833,1.061167
enum-eq-4,witness,2000,0.000208,0.000209,0.000231,0.001207,0.000208,0.000208,0.000187,0.000292,0.000041,0.042167
enum-eq-64,compile,200,0.127584,0.335315,0.180668,0.081905,0.126229,0.134042,0.169760,0.192513,0.122541,0.486334
enum-eq-64,prove,30,6.727854,8.595892,6.823643,1.195624,5.839541,7.200750,6.412070,7.255099,5.525125,9.984875
enum-eq-64,verify,100,0.499999,0.862416,0.570073,0.146396,0.495458,0.506625,0.543118,0.600532,0.471959,1.259500
enum-eq-64,witness,2000,0.000083,0.000125,0.000085,0.000021,0.000083,0.000083,0.000084,0.000086,0.000041,0.000250
forall-tautology-16,compile,200,0.124896,0.359700,0.169469,0.081703,0.123333,0.130583,0.158720,0.181224,0.117416,0.600000
forall-tautology-16,prove,30,26.832833,31.437015,26.827079,2.817753,25.450312,28.012313,25.850405,27.823239,22.142667,32.540792
forall-tautology-16,verify,100,0.800396,1.694646,0.951580,0.298831,0.788875,0.852042,0.897056,1.011923,0.758959,2.209375
forall-tautology-16,witness,2000,0.000083,0.000084,0.000084,0.000017,0.000083,0.000083,0.000083,0.000085,0.000041,0.000250
forall-tautology-4,compile,200,0.033979,0.128291,0.055050,0.042555,0.033292,0.036458,0.049486,0.061269,0.031875,0.356333
forall-tautology-4,prove,30,19.636667,23.838292,20.168047,2.418741,18.757478,20.336750,19.362789,21.068710,17.161291,27.415708
forall-tautology-4,verify,100,0.360917,0.793710,0.458723,0.165589,0.354250,0.381500,0.427620,0.492229,0.349500,1.088125
forall-tautology-4,witness,2000,0.000083,0.000208,0.000184,0.002147,0.000083,0.000083,0.000104,0.000292,0.000041,0.065291
forall-tautology-8,compile,200,0.060145,0.114027,0.067720,0.028849,0.060041,0.060270,0.064107,0.072084,0.059417,0.270209
forall-tautology-8,prove,30,8.827896,10.629980,8.837931,1.160794,8.148083,9.467834,8.426692,9.239171,7.117334,10.933041
forall-tautology-8,verify,100,0.487979,1.086054,0.587703,0.237644,0.482729,0.501333,0.544946,0.636893,0.461625,1.848958
forall-tautology-8,witness,2000,0.000083,0.000084,0.000082,0.000015,0.000083,0.000083,0.000082,0.000083,0.000041,0.000209
