# samasika differential vectors
# openmina rev: see metatheory/fixtures/pickles-extractors/README.md
# cols: name	branch	fx_expect	om_short	oc_short	e_len	e_mwd	e_dens	e_slot	e_spe	e_stakelock	e_nextlock	e_vrf	e_hash	e_epochcount	c_len	c_mwd	c_dens	c_slot	c_spe	c_stakelock	c_nextlock	c_vrf	c_hash	c_epochcount	om_relmwd_e	om_relmwd_c	oc_vmwd_e	oc_vmwd_c	om_short_take	om_long_take	om_take	oc_take
long-take-density-92-97	long	take	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	92	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	97	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	40	41	40	41	true	true	true	true
long-keep-density-161-166	long	keep	false	false	99	41	5,1,6,6,5,5,5,6,2,4,3	161	30	4070358298266583207764967276491629308403294326335694249783307529537656537165	12486461678749545881295580174339830811651550133389534559587466492190355401081	5a785ceefdbb34e5cd35d1cd524b0437267f035ee1a92c6bffd0c4cf31a1fce6	14713021284697295281392460699247885760985705878344118422679962559898837786434	5	73	29	3,1,2,2,3,6,2,3,2,2,3	166	30	15509499268309127408550324047972175857983513912626169691063443800905166084514	26544912801692440170027490987621976399239010557026964655118488706915887203029	c8250fb2d54f15c0b64ac37f9dd2971c1d83029ac291d6d57c71e1ea04cdd6ab	9155684606287754557734300300689955256237913913114230000024362093834178068128	5	41	29	41	29	false	false	false	false
short-take-length-60-61	short	take	true	true	29	45	1,0,0,1,5,4,7,6,5,7,7	60	30	6978448088711987351934006146148575284727986246632342259570337685195887157707	27516329930278964798540061604359183883144983205933805972993622712535632922502	f31f0ab240bfe97ed53f9a4c19daa2727cc2028484fdad6410fa55b97060b216	16671116374807599924148800710640297374007184213853809884086961986595420055476	2	30	45	1,0,0,1,5,4,7,6,6,7,7	61	30	6978448088711987351934006146148575284727986246632342259570337685195887157707	16671116374807599924148800710640297374007184213853809884086961986595420055476	5800224c5a56513e5a749122bcb5326bcf706a014f83873399ff789241f972f8	16783195234234274562642504828347236243119582463682223946959250504833381033331	2	45	45	45	45	true	true	true	true
short-take-vrf-99-99	short	take	true	true	59	41	6,4,6,2,5,4,7,6,7,6,4	99	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	9086388163084564514950532837635886742802713467619401799067360207726486536761	419af073f4123071e33631fddc011292d2a3720f82d3678419070bb8fb5ff21c	8473808793142141250438780580304809703886119373831298751212404724940703524487	3	59	41	6,4,6,2,5,4,7,6,7,6,4	99	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	9086388163084564514950532837635886742802713467619401799067360207726486536761	5f0e1ef1d21bbb8d9666968bdde3b86d0fe4507e77b68d304ca172b8d93ff9f1	108523390874337499447197256079967050862466037025744067009080236915785793557	3	41	41	41	41	true	true	true	true
short-keep-vrf-117-117	short	keep	true	true	72	41	6,4,6,6,5,4,7,6,7,6,4	117	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	4425265053454467194661133941597025471851060645429217668371976291924546368029	66094adc5000bdaef996a7619a185d0231e7a75199a8faa3b0a60fcedeed5f27	2606188802676616416583292905742985542102601145608227534914368310763456648387	3	72	41	6,4,6,6,5,4,7,6,7,6,4	117	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	4425265053454467194661133941597025471851060645429217668371976291924546368029	629d375cbd32ca4fa2874a193ca87a5c31b37062313298e7547322a267ea7050	18351321841865049431117967779087354868039735560558523403511830548571181113895	3	41	41	41	41	false	false	false	false
derived-slotdelta-1	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	92	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	98	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	40	41	40	41	true	true	true	true
derived-slotdelta-6	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	92	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	103	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	40	41	40	41	true	true	true	true
derived-slotdelta-7	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	92	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	104	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	40	41	40	41	true	true	true	true
derived-slotdelta-8	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	92	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	105	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	40	41	40	41	true	true	true	true
derived-slotdelta-13	-	-	false	false	45	40	1,3,1,1,5,4,7,6,7,5,4	92	30	10319430319393737885351823371725781603077366630476512050557885306931812948940	25686298431238461978375277669654106196424667873702179056774480434580520628446	0a36c5c7a3cb8903827ebc85bd65fd9a350a648a009f985c9376cdd63a835cfa	270571330448882343923032911080130414324363614801133675800920626146586913693	3	57	41	6,4,6,1,5,4,7,6,7,6,4	110	30	3364457109574640863327556319080412767986586671168584467061689717583410697638	12665384480028550204853297467020501178851750099845465782746581870844073737784	e974919ea9c388f7b06e2503c77613253db4feefb6f8347ca3b1e2acc3ea1044	15188491114384605927338028853440902740810978586968510103325880035884635398069	3	40	41	40	41	true	true	true	true
