2026-07-22T08:54:38.142529965Z
 04:54:38 up 12 days,  5:26, 11 users,  load average: 1.35, 3.77, 41.39
    PID %CPU %MEM     ELAPSED COMMAND
   6417  2.3  0.3 12-05:26:00 beam.smp
2837287  0.9  0.0       47:59 kworker/9:416-events
3468264  0.9  0.0       06:23 kworker/u96:2-phy0
2785000  0.5  0.0       52:41 rustdesk
   2608  0.5  0.0 12-05:26:09 containerd
   2817  0.5  0.0 12-05:26:04 dockerd
2794758  0.4  0.3       51:43 beam.smp
      1  0.3  0.0 12-05:26:16 systemd
1736481  0.3 15.2  5-02:37:08 deco_binding_de
   7133  0.3  0.1 12-05:25:52 gnome-shell
   1252  0.2  0.0 12-05:26:13 napi/phy0-0
   1251  0.2  0.0 12-05:26:13 napi/phy0-0
3097726  0.2  0.0       38:57 kworker/u96:1-mt76
   2582  0.2  0.0 12-05:26:09 tailscaled
   2248  0.2  0.0 12-05:26:11 systemd-machine
   2842  0.2  0.0 12-05:26:04 rustdesk
   2899  0.1  0.0 12-05:26:04 gdm3
     15  0.1  0.0 12-05:26:16 rcu_preempt
   6080  0.1  0.0 12-05:26:01 nginx
